Key,English
dkGSKCFGNPCproperSneakingWorkaround,"This workaround will let you move at night with a NPC follower while sneaking. The follower will ragdoll foes, and then they will become imune to damage for 30s. This only work in the wilderness (not sheltered), at night and while sneaking, not in bloodmoon, and if the follower is nearby 10m.\n [PRIMARY] enable=2, [SECONDARY] disable=1\n iGSKNPCproperSneakingWorkaroundAllowed(CFGv1)={cvar(iGSKNPCproperSneakingWorkaroundAllowed:0)}\nPlayer Attacks disables NPC sneaking for some time ({cvar(iGSKPlayerAttackedDisableNPCSneakTime)})."

dkbuffGSKGasMaskWork,"MiasmaBlocked: ({cvar(iGSKMiasmaBlockPerc:0.00)}+{cvar(iGSKMiasmaBlockPercExtra:0.00)})/1.00\n iGSKMiasmaBlockPercExtra={cvar(iGSKMiasmaBlockPercExtra:0.00)} (this is granted by taking bath underwater)"

_old_dkGSKCFGUndergroundPOIFinder,"This will configure to above wich underground POI you will be teleported with the GSKTeleUndergroundPOI activator.\n[PRIMARY] inc index\n[SECONDARY] dec index\n iGSKUndergroundCurrentIndex={cvar(iGSKUndergroundCurrentIndex:0)}\n Obs.: Underground POIs have a hint: some prefab that is weirdly placed apparently nowhere coherent on the ground above, keep a watch for them."
dkGSKCFGUndergroundPOIFinder,"This will configure to above wich underground POI you will be teleported with the GSKTeleUndergroundPOI activator.\n[PRIMARY] inc index\n[SECONDARY] dec index\n iGSKUndergroundCurrentIndex={cvar(iGSKUndergroundCurrentIndex:0)}\n Obs.: Underground POIs have a black smoke hint."

dkGSKCFGDrinkRainAllowed,"[PRIMARY] yes\n[SECONDARY] no\nDrinking rain can be dangerous (infection, dysintery, radiation), unless you use a water purifier helmet mod. iGSKDrinkRainAllowed(CFGv1):{cvar(iGSKDrinkRainAllowed)}"

dkGSKcollectRainWater,"only if:\n IsRainingOnPlayer={cvar(iGSKIsRainingOnPlayer:0)}\n RemainingTimeTilNextAllowed:{cvar(iGSKDenyCollectRainTime:0)}s\n you can try to drink rain direcly too but it may be dangerous."

dkbuffGSKSpawnTreasure,"Did you open the treasure in a safe location?\nAnyway, watch out for raiders, they are hunting you now!\n Next wave info:\n  SpawnRaidersChance:{cvar(iGSKSpawnRaidersChancePerc:0)}%\n  NextWaveTimeout:{cvar(iGSKSpawnTreasureTmOut:0)}\nThe chance lowers as time passes and they spread away trying to find you.\nThe next wave will happen after that timeout.\nSneaking will increase the timeout limit giving you more time to think between waves."

dkblkGSKburiedTreasure,"This quest is not failed yet...\nJust unlock this treasure (craft this into an unlocked treasure box).\nOpting to use more lockpicks will let it unlock faster.\nAnd be careful where you will open it, bandits are looking for it too!"
dkGSKspawnGuardedTreasure,"This is the buried treasure.\nOpen it and a bag will drop on the ground near you.\nBeware as raiders are looking for it too!\nObs.: You can only open the next one after raiders stop hunting you."

dkbuffGSKEquippedPoisonedAmmo,"Your equipped weapon is using poisoned ammunition that will also prevent some enemies powers from working."

dkbuffGSKBeastFangsHoldup,"Some beast byte you and is holding your leg, you wont be able to move well for a few seconds. Beware also, these beasts may push and knock you down, better keep your distance."

dkGSKReplaceElctrnMods,"This only works if damage is very high (almost or broken) to prevent losing the replacement. You can still convert this into a normal mod and then into repair parts if you prefer tho."

GSKspawnDogCompanion,"Call my trusty dog companion"
dkGSKspawnDogCompanion,"Your trusty companion is nearby, just call it and be sure to give it a snack! ;).\nAlso tell it to not hunt (full control mode).\nAnd prepare one or two NPC healing bandages too just in case you need to use it."

NOTE_GSKFreeBundleExpLossInfo,"[NoMad]ExpLossDynamicInfo"
NOTE_buffGSKBeastFangsHoldup,"[NoMad]Buff:BeastFangsHoldup"

NOTE_buffGSKPermanentGenericCheck,"[NoMad]Buff:PermanentEffects"
nkbuffGSKPermanentGenericCheck,"[NoMad] Permanent Effects"
dkbuffGSKPermanentGenericCheck,"This is a generic buff that permanently checks stats, fixes values, apply buffs and keep some effects active:\n FatStaminaBlockage: {cvar(fGSKFatStaminaBlockage:0.00)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n "

dkbuffGSKNearDeathChemUse,"You have used too many chems. Eat healthy foods, use healing items or use the health treatment.\n HitpointsBlockageChemUse: {cvar(iGSKHitpointsBlockageChemUseShow:0)}\n ChemUseNearDeathLvl: {cvar(iGSKNearDeathChemUse:0.0)}\n BadAbove: {cvar(.fGSKHPBlkChemUseMinx100:0)}\n CriticalAbove: {cvar(.fGSKHPBlkChemUseMaxx100:0)}.\nObs.: it may stun you, more on higher ND levels."
dkbuffGSKNearDeathBloated,"You have eat too much. Exercise! but if it is still too dangerous use the vomit activator.\n BloatedNearDeathLvl: {cvar(iGSKNearDeathBloated:0.0)}\n FatStaminaBlockage: {cvar(fGSKFatStaminaBlockage:0.00)}\n ConsumingExtraFood: {cvar($foodAmountAdd:0.00)}/{cvar($foodOverEatAmount:0)}\nObs.: Consuming beyond the limit causes problems (15 per lvl).\nObs.: it may stun you, more on higher ND levels."
dkbuffGSKNearDeathOverhydrated,"Too much water is very dangerous! Use items that lower your water level or if it is too dangerous use the vomit activator.\n OverhydratedNearDeathLvl: {cvar(iGSKNearDeathOverhydrated:0.0)}\n ConsumingExtraWater: {cvar($waterAmountAdd:0.00)}/{cvar($waterOverEatAmount:0)}\n HPBlockage:{cvar(fGSKOverhydratedHPBlockage:0)}\n Obs.: Consuming beyond the limit causes problems (15 per lvl).\nObs.: it may stun you, more on higher ND levels."

dkGSKDbgTestElctrnMaxAll,"this will max all Elctrn mods AND set 99999 to battery energy"

dkbuffGSKGodModeFirstSpawn,"Only for your first spawn and a few othe special cases.\nThis exists just in case you spawn over a mob, you have some time to defeat it with your bare hands.\nOr to protect you from collapsing structures etc."

dkGSKCFGElctrnTeleportToBiome,"This is to configure a biome for the teleport to sky random spawn point device.\n[PRIMARY] action changes biome id\n 1=Snow(hard with puffer coat, otherwise veryhard)\n 3=PineForest(hard, but veryhard if you are unable to take a bath)\n 5=Desert(hard, but veryhard if you run out of water)\n 8=Wasteland(hard with hazmat suit, otherwise veryhard or impossible to survive too long)\n Current chosen biome(CFGv1): {cvar(iGSKTeleportedToSpawnPointBiomeId:0)}"
dkGSKElctrnTeleportToBiomeFreeAndSafeCall,"This is a free harmless teleport you can use once per resurrect to experiment other biome's difficulty.\nThis item cannot be crafted!\n[PRIMARY] action changes biome id\n 1=Snow(hard with puffer coat, otherwise veryhard)\n 3=PineForest(hard, but veryhard if you are unable to take a bath)\n 5=Desert(hard, but veryhard if you run out of water)\n 8=Wasteland(hard with hazmat suit, otherwise veryhard or impossible to survive too long)\n Current chosen biome(CFGv1): {cvar(iGSKTeleportedToSpawnPointBiomeId:0)}\n[SECONDARY] action will place you in a random spawn point at the chosen biome.\nObs.: This may also be used to stay in the same biome but try a better random spawn placement."
dkGSKElctrnTeleportUndergroundFreeAndSafeCall,"Use this now (if not in desert or taking rads dmg)!\n[[PRIMARY]] places you in safe underground below random spawnpoint (sends to spawnpoint and {cvar(iGSKTTUnderFreeDelay)}s after sent below)\n[SECONDARY] places you 50m below where you are (must be 60+ elevation).\nAfter teleport you can take your time to read anything you want and prepare calmly before finally teleporting to the overworld into some biome with the other free activator.\nObs.: being teleported to an area that will still be generated may lag a lot, so be patient while the game engine prepares it.\nPS.: you will be in god mode for a few seconds after using this."

dkbuffGSKGodMode,"[PRIMARY] add, [SECONDARY] remove\ncrouched will add/rm also the vanilla god buff"

dkGSKNPCHelperVehicleBicyclePlaceable,"workaround: this is only to bring back a follower NPC that is moving away very fast bug. just place and mount on it to fix the npc. the moment you mount the npc is placed near you"

dkdrugGSKHealthTreatment,"Slowly restores you to a healthy condition.\n HitpointsBlockageByChemUsePerc: {cvar(fGSKHitpointsBlockageChemUse:0.00)}\n BadAbove: {cvar(.fGSKHPBlkChemUseMinx100:0)}\n CriticalAbove: {cvar(.fGSKHPBlkChemUseMaxx100:0)}\n Info: completely removes your hitpoint blockage."

_bkp_dkGSKElctrnTeleportToSpecial," [PRIMARY] standing -> beacon\n [PRIMARY] crouched -> backpack\n [SECONDARY] standing -> Bedroll\n [SECONDARY] crouched -> Landclaim\n\n Obs.: you wont teleport if these markers are not available/placed, but the energy will still be spent. And the teleportation is destructive, so place a new bedroll or landclaim just after! And place them safely (put some blocks below them first)."
dkGSKElctrnTeleportToSpecial," [PRIMARY] standing -> backpack\n [PRIMARY] crouched -> Bedroll\n [SECONDARY] crouched -> Landclaim\n\n Obs.: you wont teleport if these markers are not available/placed, but the energy will still be spent. And the teleportation is destructive, so place a new bedroll or landclaim just after!"

dkGSKElctrnSlowFall,"activate it and jump just before the counter reaches {cvar(.fGSKCfgFallProtTmMin:0.0)}s"

dkbuffGSKBkpWaterVal,"This is restoring your water 'backup progress' to the value before you died: {cvar(fGSKWaterPercBkp:0.00)}/1.00"

dkbuffGSKElctrnHero,"Obs.: bloodmoon inteference wont allow run speed to be increased."

dkGSKCFGElctrnTeleportDistIndex,"Standing:(the cfg values are on HUD)\n [PRIMARY] action increment\n [SECONDARY] action decrement\n  Teleport Distance Index: {cvar(iGSKElctrnTeleportDistIndex:0)}\n  Max distance index (mod lvl)(CFGv1): {cvar(iGSKEnergyLvlTP:0)}+1\nThe distance index is multiplied by the base distance ({cvar(iGSKElctrnTeleportBaseDist:0)}).\nCrouched:\n [PRIMARY] action toggle UP\n [SECONDARY] action toggle DOWN\n  Teleport Diagonal UP(1)/DOWN(-1)(CFGv2): {cvar(iGSKElctrnTeleportMixUpDown:0)}\nObs.: Beware tho, if you are teleporting down and your elevation is too low, you may fall outside the world and will be teleported to the ground above."

dkGSKCFGElctrnTeleChangeSpawnIndex,"Standing:[PRIMARY] action increment 10\nStanding:[SECONDARY] action decrement 10\nCrouching:[PRIMARY] action increment 1\nCrouching:[SECONDARY] action decrement 1\nCurrentIndex(CFGv1): {cvar(iGSKTeleportedToSpawnPointIndex:0)}\nBiomeId(CFGv2):{cvar(iGSKTeleportedToSpawnPointBiomeId:0)}"

dkGSKCFGElctrnTeleportToSkyDistIndex,"Teleport to Sky:\n [PRIMARY] action increment\n [SECONDARY] action decrement\n  Teleport Distance Index (CFGv1): {cvar(iGSKElctrnTeleSkyDistIndex:0)}\n  Max distance index (mod lvl): {cvar(iGSKEnergyLvlTP:0)}+1 (CFGv2:{cvar(.iGSKElctrnTeleSkyDistIndexMax:0)})\nThe distance index is multiplied by the base distance ({cvar(.iGSKElctrnTeleportBaseToSkyDist:0)}) to calc the final distance."

dkGSKfireFuel,"Use this to keep your torch lit."
dkNVBatteryChargePost,"Place 2 of these, wire and step between, to charge your Elctrn battery mod. This is much more efficient than crafting NV batteries on the field, on the workbench or on the chemestry station."
dkModUpgOrFixInfo," Your Electrocutioner perk level must be greater than the mod level that you want to upgrade.\n You can craft  repair parts if the damage is below 100%.\n If the damage reaches 100% you will need to craft a replacement part instead, from a newly crafted mod.\nElctrnModsUpgradeLevels (MaxIsElectrocutionerPerkLevel) TT:{cvar(iGSKEnergyLvlTT)} TS:{cvar(iGSKEnergyLvlTS)} TA:{cvar(iGSKEnergyLvlTA)} TH:{cvar(iGSKEnergyLvlTH)} TR:{cvar(iGSKEnergyLvlTR)} TP:{cvar(iGSKEnergyLvlTP)} TB:{cvar(iGSKEnergyLvlTB)}"

dkGSKStarterKit,"I need to open this quickly!\nFreeBundlesRemaining: {cvar(iGSKFreeBundlesRemaining:0)}\n(Help) Search at crafting menu:\n 'GSKCFG' for some config options\n 'CB:' for free resurrect bundles\n 'NT:' for helpful notes (or look for them at the journal after opening this bundle and waiting some time for them to slowly show up)"
dkGSKRespawnFreeBundlesLimitCfg,"Change how many times you will be allowed to open free bundles on resurrect. The more you use, the easier it will get. To compensate that the exp loss has no limit in time (just in percent), so only increase if you think the challenge is unfair.\n[PRIMARY] action increases (CFGv1: limit now is more {cvar(iGSKOnRespawnFreeBundlesLimit:0)} based on resurrects).\n[SECONDARY] action decreases (beware, this hardcore decision can't be undone).\nRemaining Free Bundles(CFGv2): {cvar(iGSKFreeBundlesRemaining:0)}, CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%, CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}, RealTime HoursRemaining ToEnd ExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\n You can lower the exp loss by creating related items to counter it. High exp loss means it will remain more challenging for longer."

dkGSKCFGTeleUndergroundFreeDelay,"Current(CFGv1): {cvar(iGSKTTUnderFreeDelay)}s\n[PRIMARY] action add 1s\n[SECONDARY] lowers 1s\nThe more the better tho (if your machine is slow it may help a lot)"

_Bkp_dkGSKElctrnTeleportToSkyFirstTime,"If you think where you spawned is too difficult, teleport to the sky!\n - use it at day time for better ground visibility\n - take a look at the sky, be sure it is not too cloudy\n - be sure you are fully healed\n - remove your bed so if you die you will spawn near your backpack\n - use now 3 extra first aid bandages\n - quickly standup (if you are crouched) and activate the teleportation to sky\n - quickly unequip all armor pieces using Elctrn mods to stop taking damage\n - while slow falling, run to some direction (you can look down while running in the sky (see technotes *3))\n - keep a look on the fall protection time limit and crouch to fall faster!\nObs.: it will be difficult to use the inventory and to look at the map while falling (unless you press toggle crouch key), be sure to put important items on your belt (see technotes *2)!\nPS.: the teleport mod will be destroyed."
dkGSKElctrnTeleportToSkyFirstTime,"If you want to try the teleport to sky imediately:\n - use it at day time for better ground visibility\n - take a look at the sky, be sure it is not too cloudy\n - place a marker +- to where you want to go\n - be sure you are fully healed\n - use now 1 extra first aid bandage\n - quickly standup (if you are crouched) and activate the teleportation to sky (that may destroy the teleport mod)\n - while slow falling, run to some direction (look straight down)\nObs.: it will be difficult to use the inventory and to look at the map, so put important items in your belt! toggle-crouch will make you fall faster but will let you use the inventory easier."

dkGSKElctrnTeleportToSky,"Please read the teleport journal or note before using this.\n[PRIMARY] action and STANDING UP can teleport Super High to sky above (use the cfg device), good to relocate yourself to another biome.\n [PRIMARY] CROUCHED teleports to sky above but not so high\n [SECONDARY] STANDUP teleports to a random spawn point on the chosen biome: {cvar(iGSKTeleportedToSpawnPointBiomeId:0)}. And not too high on the sky\n [SECONDARY] CROUCHED teleport to the previous spawn point ({cvar(iGSKTeleportedToSpawnPointIndex:0)}) on the sky.\nObs.: if you use toggle crouch, you will fall faster but will be able to use inventory easily."
dkGSKElctrnTeleport,"Please read the teleport journal or note before using this.\n[PRIMARY] action and STANDING up will teleport in front, to where you are looking at but on the horizon (looking up or down wont change the elevation)\n [PRIMARY] CROUCHED will 'teleport' to where you already are but will then cause a bigger explosion.\n [SECONDARY] action STANDING up will teleport upwards\n [SECONDARY] CROUCHED will be downwards but be careful!\n Requires {cvar(iGSKElctrnTeleportEnergy:0)} energy per distance index.\nAvoid using if the mod is damaged beyond {cvar(iGSKDmgSafePercTPShow:0)}% as it may teleport you wrongly!\n"



dkbuffGSKElctrnTeleport,"Unstable tech! You wont be able to use it again until it stabilizes. The higher your electrocutioner skill, the better (if you have luck)!"
dkGSKTeleFlee,"Teleport to a nearby direction:\n North means in front, West is to the left...\n 1. 2. 3. 4. 5. 6. 7. 8\n N. NE E. SE S. SW W. NW\n CFG={cvar(iGSKTeleFleeDir:0)}"
_bkp_dkbuffGSKRespawnNoFallDmg,"this requires playerRespawnParachuteDaemon.sh (a cygwin/linux script) to be running, or type in console, only if you have no bed placed, and in less than 10s just after resurrecting: teleport offset 0 2000 0"
dkbuffGSKRespawnNoFallDmg,"Max fall dmg protection time: {cvar(.fGSKFallProtTmMax:0)}"

dkRepairColdProt,"Cloth Damaged Cold Protection: {cvar(.fGSKDmgColdProtx100:0)}%"
dkRepairHeatProt,"Cloth Damaged Heat Protection: {cvar(.fGSKDmgHeatProtx100:0)}%"

dkbuffGSKElctrnOverchargeDmg,"Overcharge!!!\nYou charged your battery too much!\nHeal or unequip armor pieces with active mods (and re-equip the one with the battery mod as soon you can to not lose too much energy). You can also use the item NVBatteryCreate to discharge your permanent equipped battery and create a new battery."

dkNightVisionBattery,"Elctrn devices energy.\nRecharges:{cvar(iGSKBattEnergy:0)}\nWARNING! overcharging above your battery capacity will shock you, if it would take too long to end the overcharge, it is better to turn off or unequip your armor pieces using Elctrn devices that are consuming battery even if in standby (the mods that have '!'), also keep battery mod to grant high capacity and lose less energy."
dkNightVisionBatteryStrong,"Recharges:{cvar(iGSKBattStrongEnergy:0)}\n Read NightVisionBattery details too!!!"
dkNightVisionBatterySuperOvercharge,"Recharges:{cvar(iGSKBattSuperOverchargeEnergy:0)}\n Read NightVisionBattery details too!!!"

startNewGameOasisHint,"[NoMad] barely readable note"
startNewGameOasisHint2,"[NoMad] barely readable guess"
dkGSKStarterHintOasis,"Once you found a barely readable note, it was written everywhere manytimes 'WiSh 31 Dynamite', what could it mean?\n(open this if you do not want to try to guess yourself)"
dkGSKStarterHintOasis2,"The barely readable note is strange.. could it mean '3131W 3131S'? Better check if there is something useful there as soon I can, and may be I should bring a dynamite too."

dkNVBatteryCreateDbg,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action WeakBattery\n[SECONDARY] action StrongBattery"
dkNVBatteryCreate,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action WeakBattery"
dkNVBatteryCreateStrong,"Uses stored battery energy to create NV batteries.\n[PRIMARY] action StrongBattery"

_AUTOGENCODE_CREATEBUNDLES_BEGIN,"BELOW:===== DO NOT MODIFY, USE THE AUTO-GEN SCRIPT: createBundles.sh ====="
dkGSKFreeBundleExpLossInfo_NOTE,"CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time."
GSKForgeCraftingSchematicsBundle,"[NoMad]BD:ForgeCrafting Schematics"
dkGSKForgeCraftingSchematicsBundle,"Use this when you want to begin creating and using forges, also has cementmixer.\n Experience lost weight when opening this bundle: 4000/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKExploringBundle,"[NoMad]BD:Exploring "
dkGSKExploringBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\n Experience lost weight when opening this bundle: 29539/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  Obs.: Some of these equipment or devices are severely damaged and wont last long w/o repairs.\n"
GSKExploringSchematicsBundle,"[NoMad]BD:Exploring Schematics"
dkGSKExploringSchematicsBundle,"Use this if you think exploring the world is unreasonably difficult (there is no vehicle in it tho).\n Experience lost weight when opening this bundle: 3200/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKCombatWeaponsBundle,"[NoMad]BD:CombatWeapons "
dkGSKCombatWeaponsBundle,"use this if you are not having a reasonable chance against mobs\n Experience lost weight when opening this bundle: 22807/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKCombatWeaponsSchematicsBundle,"[NoMad]BD:CombatWeapons Schematics"
dkGSKCombatWeaponsSchematicsBundle,"use this if you are not having a reasonable chance against mobs\n Experience lost weight when opening this bundle: 1300/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKCombatArmorHelmetBundle,"[NoMad]BD:CombatArmorHelmet "
dkGSKCombatArmorHelmetBundle,"Use this if you are taking too much damage. You should use this anyway otherwise ranged raiders become unreasonably difficult.\n Experience lost weight when opening this bundle: 775/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKCombatArmorBundle,"[NoMad]BD:CombatArmor "
dkGSKCombatArmorBundle,"Use this if you are taking too much damage.\n Experience lost weight when opening this bundle: 1081/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKElctrnEnergyBundle,"[NoMad]BD:ElctrnEnergy "
dkGSKElctrnEnergyBundle,"Use this if you want to start using and crafting Elctrn mods, this will increase your combat survival chances.\n Experience lost weight when opening this bundle: 7341/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n  Obs.: Some of these equipment or devices are severely damaged and wont last long w/o repairs.\n"
GSKElctrnEnergySchematicsBundle,"[NoMad]BD:ElctrnEnergy Schematics"
dkGSKElctrnEnergySchematicsBundle,"Use this if you want to start using and crafting Elctrn mods, this will increase your combat survival chances.\n Experience lost weight when opening this bundle: 2900/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n CurrentExpLoss: {cvar(.fGSKExpDebtPercx100:0)}%\n CurrentExpDebit: {cvar(fGSKExpDebt:0.00)}/{cvar(fGSKAllFreeBundlesSumExpDebit:0)}\n RealTimeHoursRemainingToEndExpLoss: {cvar(.fGSKExpDebtTmRemain:0.0)}\nOpening free bundles that increase exp loss beyond the maximum will only increase the remaining time.\n "
GSKHealingBundle,"[NoMad]BD:Healing "
